"Campaign name","Ad Set Name","Ad name",Placement,"Delivery status","Delivery level","Ad Set Name","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks","Landing page views rate per link clicks","Result type",Results,"Cost per result","Adds to cart","Reporting starts","Reporting ends"
FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,WM_25-50_EN_Feed_SEP7_Seattle_6PM_RetargetLookalike_7-16-25,Video_EN_Seattle_SEP7_6PM_T_NotADoctor_7-25-25,Feed,inactive,ad,WM_25-50_EN_Feed_SEP7_Seattle_6PM_RetargetLookalike_7-16-25,353.06,"7-day click or 1-day view",8.4898764,41586,1.84728145,22512,0.07567451,3147,,"Landing page views",1778,0.19857143,,2025-04-01,2025-09-17
FB_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-8-25,MW_30-50_EN_Feed_SEP7_Seattle_6PM_Comedy+Events+Max+Media_7-8-25,CRS_EN_Seattle_SEP7_6PM_PissGuy_7-8-25,Feed,not_delivering,ad,MW_30-50_EN_Feed_SEP7_Seattle_6PM_Comedy+Events+Max+Media_7-8-25,160.77,"7-day click or 1-day view",6.19227362,25963,1.54137972,16844,0.08446636,2193,,"Landing page views",2046,0.07857771,58,2025-04-01,2025-09-17
US-Seattle-SignUp-EN-SEP2025-Target,Targeted,T-Flyer,"Facebook Reels",not_delivering,ad,Targeted,155.26700578,"7-day click or 1-day view",5.55119792,27970,2.04848396,13654,0.07894172,2208,,"Landing page views",2020,0.07686485,136,2025-04-01,2025-09-17
FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,WM_25-50_EN_Feed_SEP7_Seattle_6PM_RetargetLookalike_7-16-25,CRS_EN_Seattle_SEP7_6PM_T_PissGuy_7-16-25,Feed,inactive,ad,WM_25-50_EN_Feed_SEP7_Seattle_6PM_RetargetLookalike_7-16-25,107.77,"7-day click or 1-day view",7.49913019,14371,1.38769795,10356,0.0853107,1226,,"Landing page views",1114,0.09674147,30,2025-04-01,2025-09-17
IG_US_Seattle_SEP7_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-22-25,MW_21-45_EN_Feed_SEP7_Seattle_7PM_AddToCart-Purchase_8-8-25,Flyer_EN_Seattle_SEP7_7PM_Flyer_8-8-25,Feed,not_delivering,ad,MW_21-45_EN_Feed_SEP7_Seattle_7PM_AddToCart-Purchase_8-8-25,106.97688131,"7-day click, 1-day view, or 1-day engaged-view",15.0502084,7108,1.35030395,5264,0.01238042,88,,"Website adds to cart",12,8.91474011,12,2025-04-01,2025-09-17
IG_US_Seattle_SEP7_6PM_C25_M/W_LPView_EN_Feed_7-8-25,MW_21-45_EN_Feed_SEP7_Seattle_6PM_Comedy+Events+Max+Media_7-8-25,Video_EN_Seattle_SEP7_6PM_PissGuy_7-8-25,Feed,not_delivering,ad,MW_21-45_EN_Feed_SEP7_Seattle_6PM_Comedy+Events+Max+Media_7-8-25,105.64,"7-day click or 1-day view",6.90773557,15293,1.43192884,10680,0.0751978,1150,,"Landing page views",763,0.13845347,53,2025-04-01,2025-09-17
FB_US_Seattle_SEP7_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-22-25,MW_30-50_EN_Feed_SEP7_Seattle_7PM_LPView+VideoViews_8-8-25,Flyer_EN_Seattle_SEP7_7PM_Flyer_8-8-25,Feed,not_delivering,ad,MW_30-50_EN_Feed_SEP7_Seattle_7PM_LPView+VideoViews_8-8-25,105.06758902,"7-day click, 1-day view, or 1-day engaged-view",11.92053427,8814,2.11620648,4165,0.01486272,131,,"Website adds to cart",8,13.13344863,8,2025-04-01,2025-09-17
FB_US_Seattle_SEP7_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-8-25,MW_30-50_EN_Feed_SEP7_Seattle_7PM_LPView+VideoViews_8-8-25,Video_EN_Seattle_SEP7_7PM_PissGuy_8-8-25,"Facebook Reels",not_delivering,ad,MW_30-50_EN_Feed_SEP7_Seattle_7PM_LPView+VideoViews_8-8-25,102.95,"7-day click, 1-day view, or 1-day engaged-view",7.16722361,14364,1.54651163,9288,0.01232247,177,,"Website adds to cart",,,,2025-04-01,2025-09-17
FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,WM_25-50_EN_Feed_SEP7_Seattle_6PM_RetargetLookalike_7-16-25,Flyer_EN_Seattle_SEP7_6PM_T_Flyer_7-16-25,Feed,inactive,ad,WM_25-50_EN_Feed_SEP7_Seattle_6PM_RetargetLookalike_7-16-25,96.47384144,"7-day click or 1-day view",5.26230521,18333,1.73476533,10568,0.03081874,565,,"Landing page views",418,0.23079866,11,2025-04-01,2025-09-17
FB_US_Seattle_SEP7_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-22-25,MW_30-50_EN_Feed_SEP7_Seattle_7PM_FBIGEngagement_7-29-25,Flyer_EN_Seattle_SEP7_7PM_Flyer_8-8-25,Feed,not_delivering,ad,MW_30-50_EN_Feed_SEP7_Seattle_7PM_FBIGEngagement_7-29-25,93.54987127,"7-day click, 1-day view, or 1-day engaged-view",11.39879021,8207,1.57282484,5218,0.02534422,208,,"Website adds to cart",59,1.58559104,59,2025-04-01,2025-09-17
IG_US_Seattle_SEP7_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-8-25,MW_21-45_EN_Feed_SEP7_Seattle_7PM_FBIGEngagement_8-8-25,Video_EN_Seattle_SEP7_7PM_PissGuy_8-8-25,Feed,not_delivering,ad,MW_21-45_EN_Feed_SEP7_Seattle_7PM_FBIGEngagement_8-8-25,84.44,"7-day click, 1-day view, or 1-day engaged-view",11.91981931,7084,1.57772829,4490,0.01665726,118,,"Website adds to cart",,,,2025-04-01,2025-09-17
FB_US_Seattle_SEP7_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-8-25,MW_30-50_EN_Feed_SEP7_Seattle_7PM_LPView+VideoViews_8-8-25,Video_EN_Seattle_SEP7_7PM_PissGuy_8-8-25,Feed,not_delivering,ad,MW_30-50_EN_Feed_SEP7_Seattle_7PM_LPView+VideoViews_8-8-25,77.26,"7-day click, 1-day view, or 1-day engaged-view",6.60511242,11697,1.62639043,7192,0.02086005,244,,"Website adds to cart",,,,2025-04-01,2025-09-17
US-Seattle-SignUp-EN-SEP2025-Target,Targeted,T-Flyer,"Instagram Stories",not_delivering,ad,Targeted,69.89215643,"7-day click or 1-day view",6.35845673,10992,2.02617512,5425,0.07687409,845,,"Landing page views",775,0.09018343,76,2025-04-01,2025-09-17
IG_US_Seattle_SEP7_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-8-25,MW_21-45_EN_Feed_SEP7_Seattle_7PM_FBIGEngagement_8-8-25,Video_EN_Seattle_SEP7_7PM_PissGuy_8-8-25,"Instagram Reels",not_delivering,ad,MW_21-45_EN_Feed_SEP7_Seattle_7PM_FBIGEngagement_8-8-25,67.74,"7-day click, 1-day view, or 1-day engaged-view",7.02769997,9639,1.56223663,6170,0.01742919,168,,"Website adds to cart",,,,2025-04-01,2025-09-17
FB_US_Seattle_SEP7_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-22-25,MW_30-50_EN_Feed_SEP7_Seattle_7PM_LPView+VideoViews_8-8-25,Flyer_EN_Seattle_SEP7_7PM_Flyer_8-8-25,"Facebook Reels",not_delivering,ad,MW_30-50_EN_Feed_SEP7_Seattle_7PM_LPView+VideoViews_8-8-25,50.50806979,"7-day click, 1-day view, or 1-day engaged-view",9.38288497,5383,2.59922743,2071,0.01374698,74,,"Website adds to cart",,,,2025-04-01,2025-09-17
FB_US_Seattle_SEP7_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-22-25,MW_30-50_EN_Feed_SEP7_Seattle_7PM_LPView+VideoViews_8-8-25,CRS_EN_Seattle_SEP7_7PM_JobInterview_8-22-25,Feed,not_delivering,ad,MW_30-50_EN_Feed_SEP7_Seattle_7PM_LPView+VideoViews_8-8-25,49.72499095,"7-day click, 1-day view, or 1-day engaged-view",12.42503522,4002,1.66196013,2408,0.04547726,182,,"Website adds to cart",3,16.57499698,3,2025-04-01,2025-09-17
IG_US_Seattle_SEP7_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-22-25,MW_21-45_EN_Feed_SEP7_Seattle_7PM_AddToCart-Purchase_8-8-25,Flyer_EN_Seattle_SEP7_7PM_Flyer_8-8-25,"Instagram Stories",not_delivering,ad,MW_21-45_EN_Feed_SEP7_Seattle_7PM_AddToCart-Purchase_8-8-25,48.1666059,"7-day click, 1-day view, or 1-day engaged-view",13.59486478,3543,1.26943748,2791,0.01947502,69,,"Website adds to cart",9,5.3518451,9,2025-04-01,2025-09-17
IG_US_Seattle_SEP7_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-22-25,MW_21-45_EN_Feed_SEP7_Seattle_7PM_AddToCart-Purchase_8-8-25,Flyer_EN_Seattle_SEP7_7PM_Flyer_8-8-25,"Instagram Reels",not_delivering,ad,MW_21-45_EN_Feed_SEP7_Seattle_7PM_AddToCart-Purchase_8-8-25,46.77612652,"7-day click, 1-day view, or 1-day engaged-view",9.79604744,4775,1.29228687,3695,0.01926702,92,,"Website adds to cart",10,4.67761265,10,2025-04-01,2025-09-17
